,Unnamed: 0,x,y
0,0,500,0.852
1,1,1000,0.836
2,2,1500,0.8386666666666667
3,3,2000,0.8370000000000001
4,4,2500,0.8328
5,5,3000,0.823
6,6,3500,0.8265714285714286
7,7,4000,0.82575
8,8,4500,0.8246666666666667
9,9,5000,0.8266
10,10,5500,0.8265454545454546
11,11,6000,0.84
12,12,6500,0.8340000000000001
13,13,7000,0.8338571428571429
14,14,7500,0.8305333333333333
15,15,8000,0.83175
16,16,8500,0.8370588235294117
17,17,9000,0.8274444444444444
18,18,9500,0.8286315789473684
19,19,10000,0.8339
20,20,10500,0.8308571428571428
21,21,11000,0.8351818181818181
22,22,11500,0.8286086956521739
23,23,12000,0.8311666666666667
24,24,12500,0.8292
25,25,13000,0.8284615384615385
26,26,13500,0.8363703703703703
27,27,14000,0.8282857142857143
28,28,14500,0.8292413793103448
29,29,15000,0.8378666666666666
30,30,15500,0.8320645161290322
31,31,16000,0.8344375
32,32,16500,0.8272121212121212
33,33,17000,0.8327647058823531
34,34,17500,0.8320000000000001
35,35,18000,0.836
36,36,18500,0.8284324324324325
37,37,19000,0.8268947368421052
38,38,19500,0.8328205128205128
39,39,20000,0.82555
40,40,20500,0.8301951219512195
41,41,21000,0.8261904761904761
42,42,21500,0.8345116279069767
43,43,22000,0.832590909090909
44,44,22500,0.8324444444444444
45,45,23000,0.8285652173913044
46,46,23500,0.8305106382978723
47,47,24000,0.8290000000000001
48,48,24500,0.8333061224489796
49,49,25000,0.8341200000000001
50,50,25500,0.8322745098039216
51,51,26000,0.8317692307692308
52,52,26500,0.8351698113207547
53,53,27000,0.8325185185185185
54,54,27500,0.8319636363636363
55,55,28000,0.8321428571428572
56,56,28500,0.8321052631578948
57,57,29000,0.8311379310344827
58,58,29500,0.8305762711864407
59,59,30000,0.8300333333333333
60,60,30500,0.8306557377049181
61,61,31000,0.8300322580645161
62,62,31500,0.8311746031746031
63,63,32000,0.8321875
64,64,32500,0.8309538461538462
65,65,33000,0.8267575757575758
66,66,33500,0.8302686567164179
67,67,34000,0.8327352941176469
68,68,34500,0.8353623188405798
69,69,35000,0.8298571428571428
70,70,35500,0.8323098591549296
71,71,36000,0.8288611111111112
72,72,36500,0.8323013698630137
73,73,37000,0.8296486486486486
74,74,37500,0.8305866666666667
75,75,38000,0.8326315789473684
76,76,38500,0.8323636363636364
77,77,39000,0.8286923076923077
78,78,39500,0.8360253164556962
79,79,40000,0.829525
