"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150"
10.604,11.754,13.252,14.014,11.321,13.585,12.897,12.802,12.152,11.606,11.458,11.159,13.665,13.708,12.845,13.455,14.299,12.013,12.917,10.515,13.383,13.687,11.464,11.346,11.08,11.674,11.53,9.749,12.419,11.886,10.564,11.264,10.954,11.019,9.435,10.85,11.85,11.139,10.392,10.915,12.867,13.04,11.293,9.466,10.887,13.137,14.21,13.985,14.883,14.764,13.581,13.909,13.851,13.8,14.559,13.92,15.311,14.813,14.647,13.452,7.946,15.113,15.983,15.38,13.238,13.868,13.138,15.772,16.035,16.886,16.488,14.516,17.633,16.451,13.678,16.857,16.671,18.19,17.009,18.274,17.002,13.264,17.834,15.796,15.563,16.664,15.744,16.687,16.977,14.978,13.002,14.464,15.033,15.865,18.474,19.884,20.107,18.799,18.6,17.462,17.683,17.405,10.391,18.134,17.662,15.042,16.905,15.062,16.696,16.495,15.983,14.108,16.872,17.214,15.275,13.992,14.962,13.901,14.51,16.076,15.619,16.136,15.852,16.289,13.945,15.452,14.427,14.272,13.786,14.871,13.082,11.906,14.795,15.333,15.957,15.47,15.928,14.8,14.339,12.631,14.439,14.427,14.309,14.538,13.889,14.13,14.885,14.933,15.711,15.182
10.17,11.02,11.574,12.791,12.009,11.934,13.232,13.779,13.771,13.309,15.102,14.751,13.044,14.628,13.279,13.628,12.524,15.794,15.652,14.116,14.691,14.007,15.04,15.252,14.376,9.468,14.464,13.548,12.369,14.547,15.421,15.115,15.095,13.043,14.554,13.849,12.804,13.238,12.773,13.83,13.62,14.022,15.906,14.945,12.585,15.581,16.175,15.729,16.036,16.015,13.742,15.327,15.775,18.113,18.307,15.183,17.919,20.114,18.963,17.571,15.736,16.939,17.335,14.059,17.491,17.65,17.211,16.925,14.975,18.662,18.828,18.039,17.263,16.816,14.835,14.89,15.196,14.006,16.186,13.877,14.602,15.311,13.199,13.488,15.459,13.596,14.559,15.967,16.184,16.279,13.512,15.101,14.597,12.339,15.088,15.181,16.23,15.606,13.741,15.282,16.426,15.572,11.25,14.937,15.608,16.013,14.868,13.066,13.96,14.513,13.68,15.668,15.936,15.555,12.485,13.545,14.672,14.516,13.552,15.79,16.069,16.01,12.866,16.371,15.946,14.692,14.596,14.572,14.938,15.689,13.926,14.954,15.325,12.423,13.283,14.279,14.391,15.731,15.98,15.299,15.239,14.429,14.259,14.078,14.88,14.395,15.178,14.663,14.447,14.27
11.149,10.67,12.248,12.366,12.423,11.608,11.74,12.663,11.447,12.607,11.475,12.491,13.374,11.958,10.239,10.612,7.151,11.14,11.893,11.469,12.344,10.677,11.208,10.628,10.346,7.629,10.572,10.424,11.486,12.27,11.652,11.121,10.891,11.612,10.86,7.63,8.201,9.175,8.606,10.389,11.145,8.823,8.53,10.945,10.9,12.77,12.787,11.053,9.921,11.089,12.928,14.274,13.655,13.307,13.68,15.002,13.541,12.425,12.251,13.676,11.469,11.858,14.611,15.018,16.214,16.428,15.054,13.956,14.683,14.608,14.526,13.683,14.176,14.789,15.91,16.778,17.419,17.2,17.542,18.498,17.111,17.373,15.706,17.869,17.977,16.648,17.762,18.572,15.694,16.595,14.062,16.464,16.797,15.526,14.968,15.058,14.689,14.291,11.59,14.207,13.62,16.675,17.667,17.581,13.663,15.488,17.547,17.213,15.686,14.87,16.257,16.794,13.229,16.719,15.637,14.678,15.872,13.262,16.536,16.979,15.42,15.786,15.986,14.377,14.519,15.087,12.514,12.771,14.607,14.566,14.96,15.96,15.611,14.208,14.95,15.659,15.45,14.706,14.673,15.117,13.3,15.222,15.087,14.381,14.067,12.941,14.611,14.177,14.365,15.463
11.948,11.714,11.444,11.224,10.321,9.699,11.972,14.844,14.386,13.286,14.013,13.513,13.451,14.206,12.44,13.672,14.687,12.687,11.832,13.269,13.072,13.706,13.291,10.245,13.572,14.334,13.497,13.314,14.316,12.538,11.73,11.917,12.436,13.605,12.826,13.303,13.869,12.373,7.581,13.085,13.618,13.131,12.979,13.549,12.908,14.288,14.041,13.273,12.14,13.864,8.722,13.142,14.636,15.663,14.809,15.388,15.719,16.012,15.735,12.768,10.038,14.506,14.965,17.911,18.478,15.368,15.615,15.338,16.257,16.572,15.529,15.677,14.899,15.674,17.245,16.808,17.038,17.433,18.717,19.346,17.809,17.245,20.435,19.647,17.081,18.573,19.493,19.951,20.304,19.365,19.299,19.04,16.813,14.909,15.442,16.275,17.161,16.035,16.119,17.087,19.471,19.705,19.548,20.558,20.807,20.374,19.764,20.888,20.729,17.989,20.037,20.064,20.149,20.006,20.064,20.475,19.03,17.853,18.842,18.906,18.58,17.047,18.551,18.71,18.614,18.772,18.647,18.995,18.949,18.887,19.081,18.804,19.072,18.529,19.62,20.589,19.066,17.259,17.65,18.94,17.022,16.586,18.074,19.684,18.821,14.985,18.008,19.411,18.309,17.552
9.462,8.96,7.851,9.793,9.543,10.087,9.319,9.782,8.925,8.137,11.779,11.474,10.691,11.025,11.286,12.075,11.524,10.798,7.856,10.181,9.309,10.064,6.564,10.583,10.967,8.431,11.304,12.19,11.391,10.197,8.642,10.541,10.66,9.442,10.31,10.182,10.495,8.054,8.301,10.569,11.229,10.159,10.21,9.325,10.903,9.637,11.709,11.922,11.329,6.965,11.383,9.758,8.525,9.977,11.82,10.99,12.459,13.145,11.939,13.619,14.222,12.1,11.458,12.498,13,12.456,10.572,10.13,11.875,11.079,9.613,4.305,13.145,13.862,10.9,13.691,14.707,14.987,11.607,12.114,13.723,14.097,14.921,15.074,16.322,16.645,17.261,16.08,15.272,16.27,15.315,15.257,14.701,15.546,14.543,10.161,14.616,15.621,15.371,14.664,15.088,14.238,14.361,16.075,16.516,16.533,14.211,15.903,14.621,18.241,17.979,17.263,14.826,15.974,16.805,17.217,15.904,15.443,14.845,16.134,13.399,16.297,16.115,15.953,15.092,14.933,14.112,13.362,14.407,16.093,15.497,13.839,14.002,15.09,10.711,13.223,14.236,14.791,14.551,13.179,12.96,13.714,12.296,14.85,15.484,14.792,14.554,15.568,14.242,13.492
10.158,10.885,8.901,11.517,12.197,11.76,11.962,11.772,11.594,10.048,11.424,12.639,11.46,12.477,13.198,11.653,11.495,10.495,10.292,11.676,12.463,12.776,12.531,12.405,11.95,8.403,12.602,12.563,12.026,13.32,11.561,9.775,10.66,11.37,12.325,13.019,12.601,11.635,11.183,11.036,12.416,12.339,11.601,11.952,9.953,12.612,12.346,11.446,10.776,11.02,12.285,11.376,10.857,10.783,10.552,13.319,13.284,13.97,13.888,12.519,16.014,15.998,13.72,10.752,13.565,12.222,11.32,14.02,13.175,13.834,14.473,14.83,14.631,13.599,12.773,11.46,8.433,13.922,9.069,14.19,15.258,14.989,14.257,15.514,16.303,15.316,15.409,16.622,16.208,15.393,16.993,17.829,17.514,12.087,14.759,16.102,15.69,15.331,14.758,15.144,15.835,16.065,16.066,16.212,16.733,17.127,18.301,18.814,16.432,18.389,18.083,16.976,15.946,17.156,18.304,20.182,20.471,20.218,18.193,17.938,19.505,19.065,18.143,17.492,15.183,17.612,15.014,16.7,16.389,17.83,17.668,16.569,17.936,16.123,15.868,17.894,18.57,16.394,17.57,18.909,18.133,17.112,17.343,17.823,17.201,17.685,18.111,18.327,15.606,17.565
11.509,10.674,10.003,10.16,11.172,10.282,8.012,10.297,11.346,11.336,10.973,10.979,11.438,11.564,11.45,10.531,11.942,12.451,11.585,10.006,12.524,13.244,12.589,11.453,12.383,13.051,10.807,10.879,11.151,6.683,10.312,8.107,10.134,11.572,10.384,8.5,13.374,13.865,13.503,12.868,11.453,14.373,14.516,13.621,14.286,13.66,14.985,13.428,15.24,14.963,14.372,9.747,13.927,13.062,8.595,13.199,13.783,13.642,11.058,13.117,13.686,11.519,13.242,14.203,15.237,12.487,15.352,15.752,16.016,16.044,15.024,14.293,15.465,12.884,13.936,16.769,17.102,17.474,16.84,15.804,15.701,14.911,16.925,16.492,16.893,18.412,17.453,16.84,16.214,15.968,15.848,15.86,15.783,16.513,17.817,18.402,17.909,16.59,17.749,17.245,16.522,16.433,15.587,14.079,16.501,14.141,15.652,14.337,14.739,15.283,16.66,15.651,16.493,10.922,15.458,14.453,16.067,16.732,13.338,15.869,15.455,15.736,16.376,17.331,16.027,16.026,15.444,16.477,14.522,13.136,13.765,15.023,12.441,14.285,15.041,12.303,13.908,14.663,14.276,13.926,15.159,16.068,15.143,7.723,13.465,13.424,15.683,13.087,14.514,14.87
9.908,9.478,9.226,9.747,9.527,10.265,10.939,10.286,9.831,10.433,11.885,12.048,10.99,12.304,11.71,13.746,13.24,11.616,10.592,11.684,11.274,11.179,12.232,12.907,13.185,14.368,13.643,14.023,13.539,9.457,9.979,9.62,11.593,11.78,12.681,10.083,13.658,11.683,13.745,13.042,11.274,12.33,12.81,14.011,15.534,15.362,11.884,13.195,8.023,13.807,15.049,16.007,15.846,15.853,15.907,15.413,15.597,15.141,13.913,14.736,13.858,14.556,14.791,13.813,14.146,11.515,14.443,13.701,13.211,15.205,14.687,14.597,16.743,15.865,16.187,17.719,18.36,18.107,16.866,16.677,13.589,16.719,15.892,16.135,17.419,17.276,15.396,14.934,13.775,12.236,15.783,13.099,14.456,14.474,14.203,17.045,16.167,17.489,18.598,18.24,16.421,16.008,15.726,15.376,15.636,17.53,17.631,16.587,14.46,16.699,16.818,15.668,15.564,13.629,15.359,15.405,16.305,16.391,16.106,16.22,15.93,14.245,13.179,13.165,15.312,13.954,12.964,13.291,13.723,12.585,15.825,16.121,15.468,15.435,17.035,17.236,16.677,15.998,15.571,15.298,14.082,15.08,15.998,15.907,14.204,14.464,15.205,14.671,13.527,14.667
10.946,10.405,10.715,11.335,12.211,13.575,12.101,11.692,13.279,11.457,12.981,13.461,12.477,13.132,13.868,12.301,12.207,12.914,14.05,15.017,13.022,12.276,12.93,12.693,12.918,13.852,10.79,12.717,13.628,13.764,13.941,12.949,13.491,13.544,13.226,13.113,12.174,11.61,11.524,11.128,11.256,11.527,11.627,9.54,11.099,11.048,12.224,9.381,13.032,12.661,12.56,13.634,13.623,10.645,14.533,14.146,15.525,14.514,15.426,15.26,14.343,14.539,13.642,13.265,15.412,15.49,14.931,14.717,14.816,15.382,13.783,14.36,11.836,14.105,16.625,14.526,17.238,18.037,15.997,16.838,18.336,17.251,16.802,15.751,16.617,16.561,15.95,15.527,12.928,12.151,15.043,14.286,12.917,14.346,14.125,14.653,15.792,15.474,14.095,15.51,16.306,16.386,17.876,18.659,19.093,18.375,17.026,18.622,18.533,17.186,16.45,16.946,13.728,17.69,16.452,16.993,14.25,17.355,16.733,16.465,16.86,16.22,16.292,15.923,16.811,17.494,16.609,15.023,14.725,15.382,14.52,17.082,15.636,17.024,17.472,16.842,16.825,17.304,17.734,16.772,14.213,16.056,16.736,15.17,14.424,14.405,14.689,15.093,15.334,15.693
8.819,8.689,9.39,10.015,10.471,11.219,11.152,11.914,9.689,11.486,12.348,11.714,12.154,12.412,12.208,12.429,13.016,10.599,12.771,13.705,14.28,13.543,13.184,12.914,13.688,11.998,13.494,13.286,11.697,11.575,10.739,10.259,11.577,12.859,12.139,12.421,12.763,12.395,10.642,7.679,9.574,11.638,11.357,9.793,11.422,9.933,11.404,12.783,12.707,11.919,12.115,12.018,12.678,11.842,11.926,13.177,12.453,10.981,11.944,12.774,14.412,12.384,12.966,11.667,11.144,11.708,11.054,11.156,11.377,11.571,9.973,12.453,10.956,12.386,12.895,8.183,10.287,12.838,13.554,14.676,12.801,14.256,15.324,15.319,16.323,17.556,15.707,16.307,13.177,16.121,17.348,18.105,16.916,15.153,15.886,16.295,14.311,16.276,15.468,14.839,14.348,14.636,14.546,14.578,13.653,14.202,14.223,15.139,15.885,15.513,14.783,10.713,15.685,16.395,15.741,14.518,13.92,15.773,15.352,13.001,15.985,16.805,15.171,13.45,13.019,12.88,13.356,13.986,14.094,12.617,13.581,12.026,12.92,14.395,15.924,14.279,16.066,14.673,14.726,16.098,15.827,12.539,15.527,14.321,17.479,15.817,13.685,15.559,14.884,16.294
